"Position","Name","Profile Link"
1,"Mohammed Aftab Aalam","https://en.wikipedia.org/wiki/Mohammed_Aftab_Aalam"
2,"Bhim Acharya","https://en.wikipedia.org/wiki/Bhim_Acharya"
3,"Dilaram Acharya","https://en.wikipedia.org/wiki/Dilaram_Acharya"
4,"Drona Prasad Acharya","https://en.wikipedia.org/wiki/Drona_Prasad_Acharya"
5,"Lekh Nath Acharya","https://en.wikipedia.org/wiki/Lekh_Nath_Acharya"
6,"Mahesh Acharya","https://en.wikipedia.org/wiki/Mahesh_Acharya"
7,"Mahadev Bajgai","https://en.wikipedia.org/wiki/Mahadev_Bajgai"
8,"Narahari Acharya","https://en.wikipedia.org/wiki/Narahari_Acharya"
9,"Shailaja Acharya","https://en.wikipedia.org/wiki/Shailaja_Acharya"
10,"Haribhakta Adhikari","https://en.wikipedia.org/wiki/Haribhakta_Adhikari"
11,"Khagaraj Adhikari","https://en.wikipedia.org/wiki/Khagaraj_Adhikari"
12,"Mohan Chandra Adhikari","https://en.wikipedia.org/wiki/Mohan_Chandra_Adhikari"
13,"Narayan Prasad Adhikari","https://en.wikipedia.org/wiki/Narayan_Prasad_Adhikari"
14,"Rabindra Prasad Adhikari","https://en.wikipedia.org/wiki/Rabindra_Prasad_Adhikari"
15,"Ram Nath Adhikari","https://en.wikipedia.org/wiki/Ram_Nath_Adhikari"
16,"Shekha Nath Adhikari","https://en.wikipedia.org/wiki/Shekha_Nath_Adhikari"
17,"Ghan Shyam Yadav Ahir","https://en.wikipedia.org/wiki/Ghan_Shyam_Yadav_Ahir"
18,"Ram Bachhan Ahir (Yadhav)","https://en.wikipedia.org/wiki/Ram_Bachhan_Ahir_(Yadhav)"
19,"Madan Bahadur Amatya","https://en.wikipedia.org/wiki/Madan_Bahadur_Amatya"
20,"Salim Miya Ansari","https://en.wikipedia.org/wiki/Salim_Miya_Ansari"
21,"Urmila Aryal","https://en.wikipedia.org/wiki/Urmila_Aryal"
22,"Durga Kumari B.K.","https://en.wikipedia.org/wiki/Durga_Kumari_B.K."
23,"Kanchan Chandra Bade","https://en.wikipedia.org/wiki/Kanchan_Chandra_Bade"
24,"Dilendra Prasad Badu","https://en.wikipedia.org/wiki/Dilendra_Prasad_Badu"
25,"Bhagat Bahadur Baduwal","https://en.wikipedia.org/wiki/Bhagat_Bahadur_Baduwal"
26,"Raghav Lal Baidya","https://en.wikipedia.org/wiki/Raghav_Lal_Baidya"
27,"Khadgajeet Baral","https://en.wikipedia.org/wiki/Khadgajeet_Baral"
28,"Sudarshan Baral","https://en.wikipedia.org/wiki/Sudarshan_Baral"
29,"Dipak Prakash Baskota","https://en.wikipedia.org/wiki/Dipak_Prakash_Baskota"
30,"Hari Bahadur Basnet","https://en.wikipedia.org/wiki/Hari_Bahadur_Basnet"
31,"Hari Nath Bastola","https://en.wikipedia.org/wiki/Hari_Nath_Bastola"
32,"Mohan Bahadur Basnet","https://en.wikipedia.org/wiki/Mohan_Bahadur_Basnet"
33,"Shakti Bahadur Basnet","https://en.wikipedia.org/wiki/Shakti_Bahadur_Basnet"
34,"Tek Bahadur Basnet","https://en.wikipedia.org/wiki/Tek_Bahadur_Basnet"
35,"Damodar Bastakoti","https://en.wikipedia.org/wiki/Damodar_Bastakoti"
36,"Gunakhar Basyal","https://en.wikipedia.org/wiki/Gunakhar_Basyal"
37,"Mirza Dilshad Beg","https://en.wikipedia.org/wiki/Mirza_Dilshad_Beg"
38,"Buddhiram Bhandari","https://en.wikipedia.org/wiki/Buddhiram_Bhandari"
39,"Damodar Bhandari","https://en.wikipedia.org/wiki/Damodar_Bhandari"
40,"Lila Kumari Bhandari","https://en.wikipedia.org/wiki/Lila_Kumari_Bhandari"
41,"Naresh Bhandari","https://en.wikipedia.org/wiki/Naresh_Bhandari"
42,"Sarad Singh Bhandari","https://en.wikipedia.org/wiki/Sarad_Singh_Bhandari"
43,"Sharad Singh Bhandari","https://en.wikipedia.org/wiki/Sharad_Singh_Bhandari"
44,"Dev Raj Bhar","https://en.wikipedia.org/wiki/Dev_Raj_Bhar"
45,"Tekendra Prasad Bhatt","https://en.wikipedia.org/wiki/Tekendra_Prasad_Bhatt"
46,"Lekh Raj Bhatta","https://en.wikipedia.org/wiki/Lekh_Raj_Bhatta"
47,"Baburam Bhattarai","https://en.wikipedia.org/wiki/Baburam_Bhattarai"
48,"Pampha Bhusal","https://en.wikipedia.org/wiki/Pampha_Bhusal"
49,"Narayan Man Bijukchhe","https://en.wikipedia.org/wiki/Narayan_Man_Bijukchhe"
50,"Khadga Bahadur Bishwakarma","https://en.wikipedia.org/wiki/Khadga_Bahadur_Bishwakarma"
51,"Gokarna Bista","https://en.wikipedia.org/wiki/Gokarna_Bista"
52,"Nara Bahadur Bista","https://en.wikipedia.org/wiki/Nara_Bahadur_Bista"
53,"Ram Bahadur Bista","https://en.wikipedia.org/wiki/Ram_Bahadur_Bista"
54,"Post Bahadur Bogati","https://en.wikipedia.org/wiki/Post_Bahadur_Bogati"
55,"Sabitri Bogati (Pathak)","https://en.wikipedia.org/wiki/Sabitri_Bogati_(Pathak)"
56,"Ram Bahadur Bohara","https://en.wikipedia.org/wiki/Ram_Bahadur_Bohara"
57,"Sita Devi Boudel","https://en.wikipedia.org/wiki/Sita_Devi_Boudel"
58,"Raj Bahadur Budha","https://en.wikipedia.org/wiki/Raj_Bahadur_Budha"
59,"Karn Jit Budhathoki","https://en.wikipedia.org/wiki/Karn_Jit_Budhathoki"
60,"Keshav Kumar Budhathoki","https://en.wikipedia.org/wiki/Keshav_Kumar_Budhathoki"
61,"Khem Bahadur Bum","https://en.wikipedia.org/wiki/Khem_Bahadur_Bum"
62,"Narendra Bahadur Bum","https://en.wikipedia.org/wiki/Narendra_Bahadur_Bum"
63,"Janak Kumari Chalise","https://en.wikipedia.org/wiki/Janak_Kumari_Chalise"
64,"Binayadhoj Chand","https://en.wikipedia.org/wiki/Binayadhoj_Chand"
65,"Nar Bahadur Chand","https://en.wikipedia.org/wiki/Nar_Bahadur_Chand"
66,"Renu Chand (Bhatt)","https://en.wikipedia.org/wiki/Renu_Chand_(Bhatt)"
67,"Gyan Kumari Chantyal","https://en.wikipedia.org/wiki/Gyan_Kumari_Chantyal"
68,"Dharma Sila Chapagain","https://en.wikipedia.org/wiki/Dharma_Sila_Chapagain"
69,"Bir Man Chaudhari","https://en.wikipedia.org/wiki/Bir_Man_Chaudhari"
70,"Dan Bahadur Chaudhari","https://en.wikipedia.org/wiki/Dan_Bahadur_Chaudhari"
71,"Devi Lal Chaudhari","https://en.wikipedia.org/wiki/Devi_Lal_Chaudhari"
72,"Krishna Kumar Chaudhari","https://en.wikipedia.org/wiki/Krishna_Kumar_Chaudhari"
73,"Phulmati Devi Chaudhari","https://en.wikipedia.org/wiki/Phulmati_Devi_Chaudhari"
74,"Ramcharan Chaudhari (Tharu)","https://en.wikipedia.org/wiki/Ramcharan_Chaudhari_(Tharu)"
75,"Rupa So.Si. Chaudhari","https://en.wikipedia.org/wiki/Rupa_So.Si._Chaudhari"
76,"Smriti Narayan Chaudhari","https://en.wikipedia.org/wiki/Smriti_Narayan_Chaudhari"
77,"Uma Kanta Chaudhari","https://en.wikipedia.org/wiki/Uma_Kanta_Chaudhari"
78,"Balbir Prasad Chaudhary","https://en.wikipedia.org/wiki/Balbir_Prasad_Chaudhary"
79,"Damodar Chaudhary","https://en.wikipedia.org/wiki/Damodar_Chaudhary"
80,"Laxmilal Chaudhary","https://en.wikipedia.org/wiki/Laxmilal_Chaudhary"
81,"Parbati Chaudhary","https://en.wikipedia.org/wiki/Parbati_Chaudhary"
82,"Rukmini Chaudhary","https://en.wikipedia.org/wiki/Rukmini_Chaudhary"
83,"Shanta Chaudhary","https://en.wikipedia.org/wiki/Shanta_Chaudhary"
84,"Sushila Chaudhary","https://en.wikipedia.org/wiki/Sushila_Chaudhary"
85,"Kamal Prasad Chaulagain","https://en.wikipedia.org/wiki/Kamal_Prasad_Chaulagain"
86,"Tek Bahadur Chokhyal","https://en.wikipedia.org/wiki/Tek_Bahadur_Chokhyal"
87,"Tirtha Ram Dangol","https://en.wikipedia.org/wiki/Tirtha_Ram_Dangol"
88,"Ranju Darshana","https://en.wikipedia.org/wiki/Ranju_Darshana"
89,"Arzu Rana Deuba","https://en.wikipedia.org/wiki/Arzu_Rana_Deuba"
90,"Sher Bahadur Deuba","https://en.wikipedia.org/wiki/Sher_Bahadur_Deuba"
91,"Ek Nath Dhakal","https://en.wikipedia.org/wiki/Ek_Nath_Dhakal"
92,"Janardan Dhakal","https://en.wikipedia.org/wiki/Janardan_Dhakal"
93,"Ramnath Dhakal","https://en.wikipedia.org/wiki/Ramnath_Dhakal"
94,"Nav Raj Dhami","https://en.wikipedia.org/wiki/Nav_Raj_Dhami"
95,"Ram Hari Dhungel","https://en.wikipedia.org/wiki/Ram_Hari_Dhungel"
96,"Rameshwor Prasad Dhungel","https://en.wikipedia.org/wiki/Rameshwor_Prasad_Dhungel"
97,"Pushpa Kamal Dahal","https://en.wikipedia.org/wiki/Pushpa_Kamal_Dahal"
98,"Mahendra Dhoj G.C.","https://en.wikipedia.org/wiki/Mahendra_Dhoj_G.C."
99,"Bijay Kumar Gachhadar","https://en.wikipedia.org/wiki/Bijay_Kumar_Gachhadar"
100,"Bam Dev Gautam","https://en.wikipedia.org/wiki/Bam_Dev_Gautam"
101,"Rishikesh Gautam","https://en.wikipedia.org/wiki/Rishikesh_Gautam"
102,"Sanjay Gautam","https://en.wikipedia.org/wiki/Sanjay_Gautam"
103,"Shiv Raj Gautam","https://en.wikipedia.org/wiki/Shiv_Raj_Gautam"
104,"Jaypuri Gharti","https://en.wikipedia.org/wiki/Jaypuri_Gharti"
105,"Dharma Prasad Ghimire","https://en.wikipedia.org/wiki/Dharma_Prasad_Ghimire"
106,"Krishna Kishor Ghimire","https://en.wikipedia.org/wiki/Krishna_Kishor_Ghimire"
107,"Sushma Sharma Ghimire","https://en.wikipedia.org/wiki/Sushma_Sharma_Ghimire"
108,"Deepak Giri","https://en.wikipedia.org/wiki/Deepak_Giri"
109,"Gehendra Giri","https://en.wikipedia.org/wiki/Gehendra_Giri"
110,"Janak Raj Giri","https://en.wikipedia.org/wiki/Janak_Raj_Giri"
111,"Om Prakash Yadav Gulzari","https://en.wikipedia.org/wiki/Om_Prakash_Yadav_Gulzari"
112,"Bhagwan Das Gupta","https://en.wikipedia.org/wiki/Bhagwan_Das_Gupta"
113,"Brijesh Kumar Gupta","https://en.wikipedia.org/wiki/Brijesh_Kumar_Gupta"
114,"Chandra Bahadur Gurung","https://en.wikipedia.org/wiki/Chandra_Bahadur_Gurung"
115,"Dev Gurung","https://en.wikipedia.org/wiki/Dev_Gurung"
116,"Hit Kaji Gurung","https://en.wikipedia.org/wiki/Hit_Kaji_Gurung"
117,"Kiran Gurung","https://en.wikipedia.org/wiki/Kiran_Gurung"
118,"Kul Bahadur Gurung","https://en.wikipedia.org/wiki/Kul_Bahadur_Gurung"
119,"Mahadev Gurung","https://en.wikipedia.org/wiki/Mahadev_Gurung"
120,"Palten Gurung","https://en.wikipedia.org/wiki/Palten_Gurung"
121,"Prakash Bahadur Gurung","https://en.wikipedia.org/wiki/Prakash_Bahadur_Gurung"
122,"Surya Man Gurung","https://en.wikipedia.org/wiki/Surya_Man_Gurung"
123,"Tek Bahadur Gurung","https://en.wikipedia.org/wiki/Tek_Bahadur_Gurung"
124,"Pradip Kumar Gyawali","https://en.wikipedia.org/wiki/Pradip_Kumar_Gyawali"
125,"Radha Gyawali","https://en.wikipedia.org/wiki/Radha_Gyawali"
126,"Ram Kumar Gyawali","https://en.wikipedia.org/wiki/Ram_Kumar_Gyawali"
127,"Sadrul Miya Haque","https://en.wikipedia.org/wiki/Sadrul_Miya_Haque"
128,"Anil Kumar Jha","https://en.wikipedia.org/wiki/Anil_Kumar_Jha"
129,"Arjun Prasad Joshi","https://en.wikipedia.org/wiki/Arjun_Prasad_Joshi"
130,"Bedanand Jha","https://en.wikipedia.org/wiki/Bedanand_Jha"
131,"Bhanu Bhakta Joshi","https://en.wikipedia.org/wiki/Bhanu_Bhakta_Joshi"
132,"Chandeshwor Jha","https://en.wikipedia.org/wiki/Chandeshwor_Jha"
133,"Dev Raj Joshi","https://en.wikipedia.org/wiki/Dev_Raj_Joshi"
134,"Govinda Raj Joshi","https://en.wikipedia.org/wiki/Govinda_Raj_Joshi"
135,"Hari Lal Joshi","https://en.wikipedia.org/wiki/Hari_Lal_Joshi"
136,"Laxman Dutta Joshi","https://en.wikipedia.org/wiki/Laxman_Dutta_Joshi"
137,"Nabindra Raj Joshi","https://en.wikipedia.org/wiki/Nabindra_Raj_Joshi"
138,"Padma Jyoti","https://en.wikipedia.org/wiki/Padma_Jyoti"
139,"Shiv Raj Joshi","https://en.wikipedia.org/wiki/Shiv_Raj_Joshi"
140,"Arjun Narasingha K.C.","https://en.wikipedia.org/wiki/Arjun_Narasingha_K.C."
141,"Chitra Bahadur K.C.","https://en.wikipedia.org/wiki/Chitra_Bahadur_K.C."
142,"Dipak Bahadur K.C.","https://en.wikipedia.org/wiki/Dipak_Bahadur_K.C."
143,"Gyanu K.C.","https://en.wikipedia.org/wiki/Gyanu_K.C."
144,"Nilam K.C. (Khadka)","https://en.wikipedia.org/wiki/Nilam_K.C._(Khadka)"
145,"Tanka Prasad Sharma Kadel","https://en.wikipedia.org/wiki/Tanka_Prasad_Sharma_Kadel"
146,"Yam Lal Kandel","https://en.wikipedia.org/wiki/Yam_Lal_Kandel"
147,"Birendra Kumar Kanudiya","https://en.wikipedia.org/wiki/Birendra_Kumar_Kanudiya"
148,"Dipak Karki (Jhapa politician)","https://en.wikipedia.org/wiki/Dipak_Karki_(Jhapa_politician)"
149,"Dipak Karki (Dhanusha politician)","https://en.wikipedia.org/wiki/Dipak_Karki_(Dhanusha_politician)"
150,"Ram Karki","https://en.wikipedia.org/wiki/Ram_Karki"
151,"Sushila Karki","https://en.wikipedia.org/wiki/Sushila_Karki"
152,"Kailash Nath Kasudhan","https://en.wikipedia.org/wiki/Kailash_Nath_Kasudhan"
153,"Rajendra Kumar KC","https://en.wikipedia.org/wiki/Rajendra_Kumar_KC"
154,"Gauri Shankar Khadka","https://en.wikipedia.org/wiki/Gauri_Shankar_Khadka"
155,"Hari Bahadur Khadka","https://en.wikipedia.org/wiki/Hari_Bahadur_Khadka"
156,"Bishal Khadka","https://en.wikipedia.org/wiki/Bishal_Khadka"
157,"Narayan Khadka","https://en.wikipedia.org/wiki/Narayan_Khadka"
158,"Shankar Bahadur Khadka","https://en.wikipedia.org/wiki/Shankar_Bahadur_Khadka"
159,"Jhala Nath Khanal","https://en.wikipedia.org/wiki/Jhala_Nath_Khanal"
160,"Raju Khanal","https://en.wikipedia.org/wiki/Raju_Khanal"
161,"Prakash Koirala","https://en.wikipedia.org/wiki/Prakash_Koirala"
162,"Shashanka Koirala","https://en.wikipedia.org/wiki/Shashanka_Koirala"
163,"Shekhar Koirala","https://en.wikipedia.org/wiki/Shekhar_Koirala"
164,"Sujata Koirala","https://en.wikipedia.org/wiki/Sujata_Koirala"
165,"Sushil Koirala","https://en.wikipedia.org/wiki/Sushil_Koirala"
166,"Narendra Bahadur Kunwor","https://en.wikipedia.org/wiki/Narendra_Bahadur_Kunwor"
167,"Sher Bahadur Kunwor","https://en.wikipedia.org/wiki/Sher_Bahadur_Kunwor"
168,"Chinak Kurmi","https://en.wikipedia.org/wiki/Chinak_Kurmi"
